Employee ID,Age,Attrition,Department,DistanceFromHome,Education,Education Text,EducationField,EnvironmentSatisfaction,EnvironmentSatisfaction Text,JobSatisfaction,JobSatisfaction Text,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,WorkLifeBalance Text,YearsAtCompany
1077,35,No,Sales,1,4,Master,Marketing,3,High,1,Low,Single,4312,0,3,Better,15
1078,45,No,Research & Development,6,4,Master,Other,4,Very High,1,Low,Married,13245,4,4,Best,0
1079,37,No,Research & Development,7,4,Master,Medical,1,Low,3,High,Single,13664,4,4,Best,5
1080,46,No,Human Resources,5,2,Some College,Medical,2,Medium,2,Medium,Divorced,5021,8,3,Better,4
1081,30,No,Research & Development,1,1,Below College,Life Sciences,4,Very High,4,Very High,Married,5126,1,2,Good,10
1082,35,No,Research & Development,1,3,Bachelor,Medical,2,Medium,3,High,Single,2859,1,3,Better,6
1083,55,No,Sales,1,2,Some College,Life Sciences,1,Low,4,Very High,Married,10239,3,3,Better,1
1084,38,No,Research & Development,6,3,Bachelor,Medical,2,Medium,4,Very High,Divorced,5329,7,3,Better,13
1085,34,No,Research & Development,1,2,Some College,Medical,1,Low,2,Medium,Married,4325,1,3,Better,5
1086,56,No,Research & Development,7,3,Bachelor,Life Sciences,4,Very High,4,Very High,Single,7260,4,2,Good,6
1087,23,No,Sales,2,1,Below College,Technical Degree,3,High,1,Low,Divorced,2322,3,3,Better,0
1088,51,No,Research & Development,9,4,Master,Life Sciences,4,Very High,4,Very High,Married,2075,3,3,Better,4
1089,30,No,Research & Development,2,3,Bachelor,Life Sciences,3,High,4,Very High,Married,4152,1,3,Better,11
1090,46,Yes,Sales,9,2,Some College,Medical,3,High,4,Very High,Single,9619,1,3,Better,9
1091,40,No,Research & Development,1,4,Master,Life Sciences,3,High,2,Medium,Married,13503,1,2,Good,22
1092,51,No,Sales,21,4,Master,Marketing,3,High,4,Very High,Single,5441,0,1,Bad,10
1093,30,No,Sales,4,2,Some College,Medical,3,High,2,Medium,Divorced,5209,1,2,Good,11
1094,46,No,Research & Development,1,3,Bachelor,Medical,3,High,1,Low,Married,10673,2,2,Good,10
1095,32,No,Sales,6,4,Master,Medical,2,Medium,3,High,Single,5010,1,3,Better,11
1096,54,No,Research & Development,2,4,Master,Technical Degree,1,Low,3,High,Married,13549,9,1,Bad,4
1097,24,No,Sales,3,2,Some College,Other,1,Low,3,High,Married,4999,0,2,Good,3
1098,28,No,Sales,4,3,Bachelor,Medical,2,Medium,3,High,Married,4221,1,4,Best,5
1099,58,No,Sales,10,4,Master,Medical,4,Very High,3,High,Single,13872,0,2,Good,37
1100,44,No,Research & Development,23,3,Bachelor,Medical,2,Medium,2,Medium,Married,2042,4,4,Best,3
1101,37,Yes,Human Resources,6,4,Master,Human Resources,3,High,1,Low,Divorced,2073,4,3,Better,3
1102,32,No,Research & Development,1,1,Below College,Life Sciences,4,Very High,1,Low,Single,2956,1,3,Better,1
1103,20,Yes,Research & Development,6,3,Bachelor,Life Sciences,4,Very High,4,Very High,Single,2926,1,3,Better,1
1104,34,No,Research & Development,6,4,Master,Other,1,Low,3,High,Single,4809,1,3,Better,16
1105,37,No,Research & Development,2,2,Some College,Life Sciences,3,High,4,Very High,Divorced,5163,5,4,Best,1
1106,59,No,Human Resources,2,4,Master,Human Resources,3,High,4,Very High,Married,18844,9,3,Better,3
1107,50,No,Research & Development,1,3,Bachelor,Life Sciences,1,Low,2,Medium,Married,18172,3,2,Good,8
1108,25,Yes,Sales,5,3,Bachelor,Marketing,3,High,3,High,Single,5744,1,3,Better,6
1109,25,No,Research & Development,7,1,Below College,Medical,4,Very High,4,Very High,Married,2889,1,3,Better,2
1110,22,No,Research & Development,15,3,Bachelor,Medical,2,Medium,4,Very High,Single,2871,1,3,Better,0
1111,51,No,Research & Development,1,4,Master,Medical,1,Low,1,Low,Single,7484,3,2,Good,13
1112,34,Yes,Research & Development,7,3,Bachelor,Life Sciences,1,Low,3,High,Single,6074,1,3,Better,9
1113,54,No,Human Resources,26,3,Bachelor,Human Resources,4,Very High,4,Very High,Single,17328,2,3,Better,5
1114,24,No,Research & Development,18,1,Below College,Life Sciences,2,Medium,3,High,Married,2774,0,3,Better,5
1115,34,No,Research & Development,6,4,Master,Life Sciences,3,High,2,Medium,Divorced,4505,6,3,Better,1
1116,37,No,Sales,3,3,Bachelor,Life Sciences,3,High,4,Very High,Single,7428,2,3,Better,5
1117,34,No,Research & Development,5,3,Bachelor,Medical,3,High,1,Low,Single,11631,2,3,Better,11
1118,36,No,Sales,11,2,Some College,Technical Degree,2,Medium,4,Very High,Married,9738,0,3,Better,9
1119,36,No,Research & Development,3,2,Some College,Life Sciences,1,Low,4,Very High,Divorced,2835,5,3,Better,1
1120,43,No,Sales,26,2,Some College,Life Sciences,3,High,4,Very High,Married,16959,1,4,Best,25
1121,30,No,Research & Development,23,3,Bachelor,Life Sciences,1,Low,3,High,Divorced,2613,1,2,Good,10
1122,33,No,Sales,22,2,Some College,Marketing,3,High,2,Medium,Married,6146,0,4,Best,7
1123,56,Yes,Research & Development,14,4,Master,Life Sciences,2,Medium,2,Medium,Married,4963,9,3,Better,5
1124,51,No,Research & Development,6,3,Bachelor,Life Sciences,1,Low,3,High,Single,19537,7,3,Better,20
1125,31,Yes,Sales,6,4,Master,Life Sciences,2,Medium,3,High,Married,6172,4,2,Good,7
1126,26,No,Research & Development,6,3,Bachelor,Other,3,High,2,Medium,Married,2368,1,2,Good,5
1127,58,Yes,Research & Development,23,4,Master,Medical,4,Very High,4,Very High,Married,10312,1,2,Good,40
1128,19,Yes,Sales,22,1,Below College,Marketing,4,Very High,3,High,Single,1675,1,2,Good,0
1129,22,No,Research & Development,2,1,Below College,Technical Degree,3,High,4,Very High,Married,2523,0,3,Better,2
1130,49,No,Research & Development,20,4,Master,Medical,3,High,1,Low,Married,6567,1,2,Good,15
1131,43,No,Research & Development,28,3,Bachelor,Medical,2,Medium,3,High,Single,4739,4,3,Better,3
1132,50,No,Sales,12,3,Bachelor,Marketing,3,High,4,Very High,Single,9208,4,3,Better,2
1133,31,Yes,Sales,20,3,Bachelor,Life Sciences,2,Medium,3,High,Married,4559,3,3,Better,2
1134,41,No,Sales,9,1,Below College,Life Sciences,3,High,3,High,Divorced,8189,3,3,Better,9
1135,26,No,Human Resources,25,1,Below College,Life Sciences,3,High,3,High,Married,2942,1,3,Better,8
1136,36,No,Research & Development,6,2,Some College,Medical,2,Medium,2,Medium,Divorced,4941,6,3,Better,3
1137,51,Yes,Research & Development,8,4,Master,Life Sciences,1,Low,4,Very High,Single,10650,2,3,Better,4
1138,39,No,Sales,4,4,Master,Life Sciences,4,Very High,3,High,Married,5902,4,4,Best,15
1139,25,No,Sales,28,3,Bachelor,Life Sciences,1,Low,3,High,Married,8639,2,3,Better,2
1140,30,No,Human Resources,9,3,Bachelor,Human Resources,3,High,4,Very High,Married,6347,0,1,Bad,11
1141,32,Yes,Research & Development,9,3,Bachelor,Medical,1,Low,1,Low,Single,4200,7,4,Best,5
1142,45,No,Research & Development,29,3,Bachelor,Medical,3,High,4,Very High,Single,3452,5,2,Good,6
1143,38,No,Research & Development,3,5,Doctor,Technical Degree,4,Very High,3,High,Single,4317,3,3,Better,3
1144,30,No,Research & Development,18,3,Bachelor,Life Sciences,1,Low,3,High,Single,2632,1,2,Good,5
1145,32,No,Sales,9,2,Some College,Medical,4,Very High,4,Very High,Divorced,4668,0,4,Best,8
1146,30,No,Research & Development,5,3,Bachelor,Technical Degree,4,Very High,1,Low,Divorced,3204,5,3,Better,3
1147,30,No,Research & Development,2,1,Below College,Medical,2,Medium,4,Very High,Single,2720,0,3,Better,5
1148,41,No,Research & Development,10,3,Bachelor,Life Sciences,4,Very High,1,Low,Divorced,17181,4,2,Good,7
1149,41,No,Research & Development,9,4,Master,Life Sciences,3,High,1,Low,Married,2238,2,3,Better,5
1150,19,No,Research & Development,3,1,Below College,Medical,2,Medium,2,Medium,Single,1483,1,3,Better,1
1151,40,No,Research & Development,26,3,Bachelor,Medical,2,Medium,2,Medium,Divorced,5605,1,3,Better,20
1152,35,No,Sales,1,5,Doctor,Marketing,3,High,2,Medium,Married,7295,1,3,Better,10
1153,53,No,Sales,6,2,Some College,Marketing,2,Medium,3,High,Married,2306,2,1,Bad,7
1154,45,No,Research & Development,9,3,Bachelor,Life Sciences,2,Medium,2,Medium,Divorced,2348,8,1,Bad,17
1155,32,No,Sales,8,3,Bachelor,Marketing,2,Medium,4,Very High,Single,8998,1,3,Better,9
1156,29,No,Research & Development,1,1,Below College,Technical Degree,4,Very High,3,High,Married,4319,1,3,Better,10
1157,51,No,Research & Development,7,4,Master,Medical,2,Medium,3,High,Married,6132,2,3,Better,1
1158,58,No,Research & Development,9,3,Bachelor,Medical,2,Medium,2,Medium,Married,3346,4,2,Good,1
1159,40,No,Sales,4,4,Master,Marketing,3,High,4,Very High,Married,10855,7,2,Good,12
1160,34,No,Sales,2,4,Master,Marketing,3,High,3,High,Married,2231,6,3,Better,4
1161,22,No,Research & Development,19,1,Below College,Medical,3,High,4,Very High,Married,2323,1,3,Better,2
1162,27,No,Research & Development,9,3,Bachelor,Medical,4,Very High,2,Medium,Divorced,2024,6,1,Bad,2
1163,28,No,Research & Development,21,3,Bachelor,Medical,3,High,4,Very High,Married,2713,1,1,Bad,5
1164,57,No,Research & Development,24,2,Some College,Life Sciences,3,High,4,Very High,Divorced,9439,3,1,Bad,5
1165,27,No,Research & Development,3,3,Bachelor,Medical,3,High,3,High,Divorced,2566,1,2,Good,1
1166,50,No,Research & Development,11,3,Bachelor,Life Sciences,3,High,2,Medium,Single,19926,3,3,Better,5
1167,41,No,Research & Development,14,3,Bachelor,Life Sciences,1,Low,3,High,Divorced,2451,4,3,Better,9
1168,30,No,Sales,5,3,Bachelor,Life Sciences,2,Medium,4,Very High,Married,9419,2,3,Better,10
1169,38,No,Sales,1,4,Master,Life Sciences,1,Low,4,Very High,Single,8686,4,4,Best,8
1170,32,No,Research & Development,6,5,Doctor,Life Sciences,3,High,3,High,Single,3038,3,3,Better,5
1171,27,No,Research & Development,17,3,Bachelor,Technical Degree,3,High,2,Medium,Married,3058,0,2,Good,5
1172,19,Yes,Sales,1,1,Below College,Technical Degree,3,High,1,Low,Single,2325,0,4,Best,0
1173,36,No,Research & Development,3,2,Some College,Medical,4,Very High,2,Medium,Single,2088,4,2,Good,8
1174,30,No,Research & Development,9,3,Bachelor,Medical,3,High,1,Low,Divorced,3072,1,3,Better,12
1175,45,No,Sales,4,2,Some College,Life Sciences,3,High,1,Low,Divorced,5006,4,4,Best,5
1176,56,No,Research & Development,8,3,Bachelor,Life Sciences,3,High,1,Low,Divorced,4257,4,3,Better,2
1177,33,No,Research & Development,2,3,Bachelor,Life Sciences,3,High,4,Very High,Single,2500,0,4,Best,3
1178,19,Yes,Research & Development,2,3,Bachelor,Life Sciences,2,Medium,4,Very High,Single,1102,1,2,Good,1
1179,46,No,Sales,1,2,Some College,Marketing,2,Medium,1,Low,Divorced,10453,1,3,Better,24
1180,38,No,Research & Development,9,2,Some College,Life Sciences,3,High,4,Very High,Single,2288,1,3,Better,2
1181,31,No,Research & Development,12,1,Below College,Medical,3,High,4,Very High,Married,3929,8,3,Better,4
1182,34,No,Research & Development,27,2,Some College,Medical,4,Very High,2,Medium,Single,2311,2,3,Better,3
1183,41,Yes,Sales,20,2,Some College,Marketing,2,Medium,2,Medium,Single,3140,1,2,Good,4
1184,50,No,Research & Development,1,3,Bachelor,Medical,3,High,3,High,Married,3690,2,2,Good,3
1185,53,No,Research & Development,13,2,Some College,Medical,4,Very High,1,Low,Divorced,4450,1,3,Better,4
1186,33,No,Research & Development,14,3,Bachelor,Medical,4,Very High,2,Medium,Married,2756,1,3,Better,8
1187,40,No,Research & Development,4,1,Below College,Medical,4,Very High,3,High,Married,19033,1,3,Better,20
1188,55,No,Research & Development,14,4,Master,Medical,3,High,2,Medium,Single,18722,8,3,Better,24
1189,34,No,Research & Development,2,1,Below College,Life Sciences,4,Very High,3,High,Married,9547,1,2,Good,10
1190,51,No,Research & Development,3,3,Bachelor,Medical,4,Very High,2,Medium,Single,13734,3,3,Better,7
1191,52,No,Research & Development,1,4,Master,Life Sciences,3,High,3,High,Married,19999,0,3,Better,33
1192,27,No,Research & Development,9,3,Bachelor,Medical,4,Very High,2,Medium,Single,2279,1,2,Good,7
1193,35,Yes,Research & Development,23,2,Some College,Life Sciences,2,Medium,3,High,Married,5916,3,3,Better,1
1194,43,No,Research & Development,7,3,Bachelor,Medical,4,Very High,4,Very High,Divorced,2089,4,4,Best,5
1195,45,No,Research & Development,2,2,Some College,Medical,1,Low,4,Very High,Married,16792,9,3,Better,20
1196,37,No,Research & Development,21,3,Bachelor,Life Sciences,2,Medium,1,Low,Married,3564,1,2,Good,8
1197,35,No,Research & Development,2,3,Bachelor,Medical,2,Medium,2,Medium,Single,4425,5,3,Better,6
1198,42,No,Research & Development,21,2,Some College,Medical,3,High,3,High,Divorced,5265,2,3,Better,5
1199,38,No,Research & Development,2,4,Master,Life Sciences,4,Very High,3,High,Married,6553,9,3,Better,1
1200,38,No,Research & Development,29,3,Bachelor,Technical Degree,4,Very High,4,Very High,Married,6261,3,1,Bad,7
1201,27,No,Research & Development,1,1,Below College,Technical Degree,3,High,1,Low,Married,4298,5,3,Better,2
1202,49,No,Research & Development,18,4,Master,Life Sciences,4,Very High,4,Very High,Divorced,6804,1,3,Better,7
1203,34,No,Research & Development,10,4,Master,Medical,4,Very High,3,High,Divorced,3815,1,4,Best,5
1204,40,No,Research & Development,19,2,Some College,Medical,3,High,4,Very High,Married,2741,8,4,Best,7
1205,38,Yes,Research & Development,29,1,Below College,Medical,2,Medium,1,Low,Married,6673,7,3,Better,1
1206,29,Yes,Sales,27,3,Bachelor,Marketing,2,Medium,4,Very High,Married,7639,1,2,Good,10
1207,22,No,Research & Development,5,3,Bachelor,Life Sciences,4,Very High,2,Medium,Divorced,2328,1,2,Good,4
1208,36,No,Research & Development,18,1,Below College,Medical,2,Medium,4,Very High,Single,2153,1,3,Better,8
1209,40,No,Research & Development,9,5,Doctor,Life Sciences,4,Very High,4,Very High,Married,4876,9,1,Bad,3
1210,46,No,Research & Development,1,4,Master,Medical,4,Very High,1,Low,Divorced,9396,7,3,Better,4
1211,32,Yes,Sales,4,4,Master,Medical,4,Very High,4,Very High,Married,10400,1,2,Good,14
1212,30,No,Research & Development,1,1,Below College,Life Sciences,3,High,3,High,Single,8474,1,3,Better,11
1213,27,No,Sales,20,3,Bachelor,Life Sciences,4,Very High,3,High,Single,9981,1,3,Better,7
1214,51,No,Research & Development,8,4,Master,Life Sciences,2,Medium,2,Medium,Married,12490,5,1,Bad,10
1215,30,Yes,Research & Development,3,3,Bachelor,Technical Degree,4,Very High,1,Low,Single,2657,5,3,Better,5
1216,41,No,Sales,6,3,Bachelor,Life Sciences,4,Very High,4,Very High,Single,13591,3,3,Better,1
1217,30,Yes,Sales,26,4,Master,Marketing,3,High,1,Low,Single,6696,5,2,Good,6
1218,29,Yes,Research & Development,1,3,Bachelor,Technical Degree,3,High,3,High,Single,2058,0,2,Good,6
1219,45,No,Sales,6,3,Bachelor,Medical,4,Very High,4,Very High,Single,8865,6,3,Better,19
1220,54,No,Sales,3,3,Bachelor,Marketing,4,Very High,1,Low,Married,5940,2,3,Better,6
1221,36,No,Research & Development,5,2,Some College,Life Sciences,4,Very High,2,Medium,Single,5914,8,4,Best,13
1222,33,No,Research & Development,4,4,Master,Medical,3,High,2,Medium,Married,2622,6,3,Better,3
1223,37,No,Research & Development,11,3,Bachelor,Other,2,Medium,4,Very High,Divorced,12185,1,3,Better,10
1224,38,No,Sales,3,3,Bachelor,Life Sciences,1,Low,3,High,Divorced,10609,0,2,Good,16
1225,31,No,Research & Development,1,4,Master,Medical,3,High,3,High,Married,4345,0,3,Better,5
1226,59,No,Research & Development,3,3,Bachelor,Life Sciences,3,High,4,Very High,Married,2177,3,3,Better,1
1227,37,No,Sales,4,4,Master,Marketing,1,Low,4,Very High,Divorced,2793,4,3,Better,9
1228,29,No,Sales,1,1,Below College,Medical,2,Medium,4,Very High,Married,7918,1,3,Better,11
1229,35,No,Sales,1,3,Bachelor,Marketing,3,High,3,High,Single,8789,1,4,Best,10
1230,29,Yes,Research & Development,18,1,Below College,Medical,3,High,4,Very High,Single,2389,1,2,Good,4
1231,52,No,Research & Development,2,3,Bachelor,Life Sciences,3,High,4,Very High,Single,3212,7,2,Good,2
1232,42,No,Research & Development,4,2,Some College,Technical Degree,3,High,4,Very High,Married,19232,1,3,Better,22
1233,59,No,Human Resources,6,2,Some College,Medical,2,Medium,3,High,Married,2267,8,2,Good,2
1234,50,No,Sales,1,4,Master,Medical,4,Very High,4,Very High,Divorced,19517,3,2,Good,7
1235,33,Yes,Research & Development,14,3,Bachelor,Medical,3,High,4,Very High,Married,2436,5,1,Bad,5
1236,43,No,Sales,16,3,Bachelor,Marketing,4,Very High,4,Very High,Married,16064,5,3,Better,17
1237,33,Yes,Research & Development,2,2,Some College,Life Sciences,1,Low,1,Low,Married,2707,7,4,Best,9
1238,52,No,Sales,2,4,Master,Life Sciences,1,Low,3,High,Single,19068,1,4,Best,33
1239,32,No,Sales,4,2,Some College,Life Sciences,3,High,2,Medium,Married,3931,2,3,Better,4
1240,32,Yes,Research & Development,1,3,Bachelor,Life Sciences,4,Very High,3,High,Single,3730,0,1,Bad,3
1241,39,No,Research & Development,1,4,Master,Medical,3,High,3,High,Divorced,2232,7,3,Better,3
1242,32,No,Sales,26,4,Master,Marketing,3,High,4,Very High,Married,4465,0,3,Better,3
1243,41,No,Research & Development,19,2,Some College,Life Sciences,3,High,1,Low,Divorced,3072,2,2,Good,1
1244,40,No,Research & Development,24,2,Some College,Technical Degree,1,Low,4,Very High,Divorced,3319,1,3,Better,9
1245,45,No,Research & Development,1,3,Bachelor,Other,3,High,4,Very High,Married,19202,0,3,Better,24
1246,31,No,Research & Development,3,4,Master,Medical,2,Medium,3,High,Divorced,13675,9,3,Better,2
1247,33,No,Research & Development,5,4,Master,Life Sciences,3,High,4,Very High,Married,2911,1,2,Good,2
1248,34,No,Research & Development,2,4,Master,Life Sciences,4,Very High,1,Low,Married,5957,6,3,Better,11
1249,37,No,Research & Development,1,2,Some College,Medical,3,High,1,Low,Married,3920,2,2,Good,3
1250,45,No,Research & Development,7,4,Master,Life Sciences,1,Low,3,High,Married,6434,4,3,Better,3
1251,37,Yes,Research & Development,10,3,Bachelor,Medical,1,Low,3,High,Divorced,10048,6,3,Better,1
1252,39,No,Research & Development,2,4,Master,Technical Degree,3,High,3,High,Single,10938,0,3,Better,19
1253,29,No,Research & Development,15,3,Bachelor,Life Sciences,3,High,4,Very High,Single,2340,1,3,Better,6
1254,42,No,Research & Development,17,2,Some College,Life Sciences,4,Very High,1,Low,Single,6545,3,3,Better,3
1255,29,No,Sales,20,2,Some College,Marketing,4,Very High,4,Very High,Divorced,6931,2,3,Better,3
1256,25,No,Research & Development,1,3,Bachelor,Life Sciences,1,Low,3,High,Married,4898,0,3,Better,4
1257,42,No,Research & Development,2,3,Bachelor,Medical,4,Very High,1,Low,Divorced,2593,0,3,Better,9
1258,40,No,Research & Development,2,2,Some College,Medical,1,Low,3,High,Divorced,19436,0,3,Better,21
1259,51,No,Research & Development,1,3,Bachelor,Life Sciences,3,High,4,Very High,Married,2723,1,2,Good,1
